yedek_id,yedek_university_name,yedek_city,department_name,mapped_data_university_id,mapped_data_university_name,match_type
186,Università degli Studi di Scienze Gastronomiche,Pollenzo,Gastronomic Sciences and Cultures,45,University of Gastronomic Sciences,alias
187,Università degli Studi Guglielmo Marconi - Telematica,Online / Roma,Psychological Science and Techniques,52,Università degli Studi Guglielmo Marconi - Telematica,exact
188,Università Cattolica del Sacro Cuore,Cremona,Food Science and Technology,8,Università Cattolica del Sacro Cuore,exact
189,Università Cattolica del Sacro Cuore,Piacenza,Food Science and Technology Replica,8,Università Cattolica del Sacro Cuore,exact
190,Università degli Studi di Trento,Trento,Biomolecular Sciences and Technology,18,University of Trento,alias
191,Università Telematica Giustino Fortunato,Benevento / Online,Science and Technology of Transportation,62,Università Telematica Giustino Fortunato,exact
192,Università degli Studi di Siena,Siena,Economics and Banking,16,University of Siena,alias
193,Università degli Studi della Tuscia,Viterbo,Forestry and Environmental Sciences,32,University of Tuscia,alias
194,Università degli Studi di Camerino,Camerino,Gastronomic Sciences,30,University of Camerino,alias
195,Università degli Studi di Milano,Milano,Political Sciences,10,University of Milan (Statale),alias
196,Università degli Studi di Messina,Messina,Political Sciences and International Relations,17,University of Messina,alias
197,Università Cattolica del Sacro Cuore,Milano,Political Sciences and International Relations,8,Università Cattolica del Sacro Cuore,exact
198,Università Cattolica del Sacro Cuore,Brescia,Political Sciences and International Relations Replica,8,Università Cattolica del Sacro Cuore,exact
199,Link Campus University,Roma,"Political Science, Diplomacy and Government of Administrations",42,Link Campus University,exact
200,Università per Stranieri di Perugia,Perugia,Social Sciences for Sustainability and International Cooperation,34,University for Foreigners of Perugia,alias
201,Libera Università di Bolzano,Bressanone,Social Work,6,Free University of Bozen-Bolzano,alias
202,Università degli Studi di Pavia,Pavia,Social Sciences for Global Challenges,15,University of Pavia,alias
203,Università Cattolica del Sacro Cuore,Milano,Sociology,8,Università Cattolica del Sacro Cuore,exact
204,Università di Pisa,Pisa,Historical Studies,19,University of Pisa,alias
205,Università degli Studi di Trento,Trento,"Comparative, European and International Legal Studies",18,University of Trento,alias
206,Università degli Studi di Napoli Parthenope,Napoli,Sustainable Blue Economy,35,University of Naples Parthenope,alias
207,Università degli Studi di Roma La Sapienza,Roma,Sustainable Building Engineering,2,Sapienza University of Rome,alias
208,Università degli Studi di Firenze,Floransa,Sustainable Business for Societal Challenges,63,Università degli Studi di Firenze,exact
209,Università degli Studi di Padova,Padova,Techniques and Methods in Psychological Science,4,University of Padua,alias
210,UniCamillus - Saint Camillus International University of Health Sciences,Roma,Biomedical Laboratory Techniques,41,UniCamillus,alias
211,Università Politecnica delle Marche,Ancona,Imaging and Radiotherapy Techniques,22,Marche Polytechnic University,alias
212,UniCamillus - Saint Camillus International University of Health Sciences,Roma,Imaging and Radiotherapy Techniques,41,UniCamillus,alias
213,Università Politecnica delle Marche,Ascoli Piceno,Imaging and Radiotherapy Techniques (Replica Ascoli Piceno),22,Marche Polytechnic University,alias
214,Università degli Studi della Tuscia,Viterbo,Food and Wine Technologies,32,University of Tuscia,alias
215,Libera Università di Bolzano,Bolzano,Wood Technology,6,Free University of Bozen-Bolzano,alias
216,Università degli Studi di Messina,Messina,Transnational and European Legal Studies,17,University of Messina,alias
217,Università degli Studi Europea di Roma,Roma,Tourism and Local Development,43,European University of Rome,alias
